Répartition par sexe et vie,Ensemble des nés vivants,Nés vivants - Garçons,Nés vivants - Filles,Ensemble des enfants sans vie,Enfants sans vie - Garçons,Enfants sans vie - Filles,"Garçons vivants pour 100 nés
vivants","Garçons vivants pour 100
filles vivantes","Garçons sans vie pour 100
filles sans vie"
1901,917075,468125,448950,32410,18522,13888,51,104.3,133.40000000000001
1902,904434,462097,442337,32000,18172,13828,51.1,104.5,131.40000000000001
1903,884498,451510,432988,31076,17875,13201,51,104.3,135.40000000000001
1904,877091,447651,429440,30673,17299,13374,51,104.2,129.40000000000001
1905,865604,442397,423207,30108,17289,12819,51.1,104.5,134.90000000000001
1906,864745,441358,423387,29671,16977,12694,51,104.2,133.69999999999999
1907,829632,424692,404940,29208,16675,12533,51.2,104.9,133
1908,848982,435027,413955,29834,16914,12920,51.2,105.1,130.90000000000001
1909,824739,421882,402857,28688,16378,12310,51.2,104.7,133
1910,828140,423581,404559,28566,16064,12502,51.1,104.7,128.5
1911,793506,405239,388267,26973,15384,11589,51.1,104.4,132.69999999999999
1912,801642,410816,390826,27541,15505,12036,51.2,105.1,128.80000000000001
1913,795851,407569,388282,27479,15699,11780,51.2,105,133.30000000000001
1914,757931,386560,371371,25310,14421,10889,51,104.1,132.40000000000001
1915,482968,247205,235763,16275,9156,7119,51.2,104.9,128.59999999999999
1916,384676,197133,187543,14728,8317,6411,51.2,105.1,129.69999999999999
1917,412744,211353,201391,15574,8819,6755,51.2,104.9,130.59999999999999
1918,472816,244107,228709,17344,9790,7554,51.6,106.7,129.59999999999999
1919,506960,261049,245911,19982,11582,8400,51.5,106.2,137.90000000000001
1920,838137,432044,406093,30808,17488,13320,51.5,106.4,131.30000000000001
1921,816555,418461,398094,29926,17160,12766,51.2,105.1,134.40000000000001
1922,764373,391800,372573,27262,15593,11669,51.3,105.2,133.59999999999999
1923,765888,393194,372694,26156,14962,11194,51.3,105.5,133.69999999999999
1924,757873,387889,369984,24546,14027,10519,51.2,104.8,133.30000000000001
1925,774455,397044,377411,24591,14347,10244,51.3,105.2,140.09999999999999
1926,771690,394627,377063,23894,13727,10167,51.1,104.7,135
1927,748102,382256,365846,22152,12642,9510,51.1,104.5,132.90000000000001
1928,753570,386216,367354,22437,12949,9488,51.3,105.1,136.5
1929,734140,375448,358692,21337,12212,9125,51.1,104.7,133.80000000000001
1930,754020,384658,369362,21977,12665,9312,51,104.1,136
1931,737611,376921,360690,22008,12924,9084,51.1,104.5,142.30000000000001
1932,726299,371330,354969,21444,12492,8952,51.1,104.6,139.5
1933,682394,347973,334421,20141,11781,8360,51,104.1,140.90000000000001
1934,681518,347967,333551,19658,11419,8239,51.1,104.3,138.59999999999999
1935,643870,328346,315524,18586,10682,7904,51,104.1,135.09999999999999
1936,634344,322982,311362,18255,10557,7698,50.9,103.7,137.09999999999999
1937,621453,316925,304528,17813,10019,7794,51,104.1,128.5
1938,615582,314214,301368,18803,10607,8196,51,104.3,129.40000000000001
1939,615599,313712,301887,18744,10658,8086,51,103.9,131.80000000000001
1940,561281,286361,274920,15719,8988,6731,51,104.2,133.5
1941,522261,266348,255913,13239,7704,5535,51,104.1,139.19999999999999
1942,575261,295346,279915,13239,7551,5688,51.3,105.5,132.80000000000001
1943,615780,317654,298126,12920,7405,5515,51.6,106.5,134.30000000000001
1944,629878,323710,306168,14022,8041,5981,51.4,105.7,134.40000000000001
